uniqPlot;swrad_m1;swrad_m2;swrad_m3;swrad_m4;swrad_m5;swrad_m6;swrad_m7;swrad_m8;swrad_m9;swrad_m10;swrad_m11;swrad_m12;elev;slope;aspect
rotmo_1910_b;NA;NA;NA;NA;6.749640942;12.00014973;13.22053909;11.38432026;8.064899445;4.810790062;NA;NA;2303.909299;3.355944686;347.2549103
rotmo_1910_c;NA;NA;NA;NA;6.749640942;12.00014973;13.22053909;11.38432026;8.064899445;4.810790062;NA;NA;2303.909299;3.355944686;347.2549103
rotmo_1910_d;NA;NA;NA;NA;6.753895283;12.01597977;13.24188232;11.43968391;8.067926407;4.812624931;NA;NA;2303.379346;3.671266173;332.8368378
rotmo_1910_e;NA;NA;NA;NA;6.753895283;12.01597977;13.24188232;11.43968391;8.067926407;4.812624931;NA;NA;2303.379346;3.671266173;332.8368378
rotmo_1921_a;NA;NA;NA;NA;6.537450314;11.55395603;12.80401802;11.02093697;7.760435104;4.555901527;NA;NA;2323.065606;18.00585043;39.74130559
rotmo_1921_b;NA;NA;NA;NA;6.629605293;11.76673508;12.97379208;11.17922783;7.886592388;4.609643936;NA;NA;2316.750394;13.52018061;43.85406249
rotmo_1921_c;NA;NA;NA;NA;6.732951164;11.93506908;13.16518784;11.36200523;8.042207718;4.795150757;NA;NA;2309.57581;4.798220367;16.2988681
rotmo_1921_d;NA;NA;NA;NA;6.732951164;11.93506908;13.16518784;11.36200523;8.042207718;4.795150757;NA;NA;2309.57581;4.798220367;16.2988681
rotmo_1921_e;NA;NA;NA;NA;6.760102272;11.96675777;13.23696232;11.39708328;8.078206062;4.818964005;NA;NA;2308.312023;2.636199377;335.0239316
rotmo_1956_a;NA;NA;NA;NA;NA;11.13439751;12.25759411;10.50727558;7.354299545;4.391499043;NA;NA;2382.576327;25.00163368;34.96010212
rotmo_1956_b;NA;NA;NA;NA;NA;11.28380203;12.47023392;10.65759373;7.458876133;4.444276333;NA;NA;2372.345232;21.84688235;37.18216158
rotmo_1956_c;NA;NA;NA;NA;NA;11.36854935;12.59058666;10.75773048;7.528472424;4.478100777;NA;NA;2364.089147;19.04720806;36.14251555
rotmo_1956_d;NA;NA;NA;NA;NA;11.54001236;12.71697712;10.94652653;7.600084782;4.51155901;NA;NA;2355.963102;15.586677;31.7395447
rotmo_1956_e;NA;NA;NA;NA;NA;11.74956894;12.95365047;11.1664362;7.739691257;4.577430248;NA;NA;2347.786304;8.454991275;3.713646176
rotmo_1993_a;NA;NA;NA;NA;NA;11.5426321;12.72519112;10.94708347;7.699436188;4.588202953;NA;NA;2438.119486;22.09636094;34.97385399
rotmo_1993_b;NA;NA;NA;NA;NA;11.59964275;12.78643036;10.99883461;7.636820793;4.607971191;NA;NA;2428.475585;17.38989749;25.65063749
rotmo_1993_c;NA;NA;NA;NA;NA;11.70804405;12.90697861;11.10974693;7.705107212;4.660592556;NA;NA;2421.728049;14.04603374;12.84422713
rotmo_1993_d;NA;NA;NA;NA;NA;11.70804405;12.90697861;11.10974693;7.705107212;4.660592556;NA;NA;2421.728049;14.04603374;12.84422713
rotmo_1993_e;NA;NA;NA;NA;NA;11.60066032;12.78367519;10.99505138;7.626076698;4.52290535;NA;NA;2415.517842;16.29487164;15.08889664
rutor_1850_a;NA;NA;NA;NA;NA;14.22922611;17.58904266;15.23321247;11.6238184;7.617407799;NA;NA;2667.175473;10.71299973;223.4460507
rutor_1850_b;NA;NA;NA;NA;NA;14.17258072;17.50333595;15.13612938;11.53428173;7.54259491;NA;NA;2663.277157;12.40947221;249.3371981
rutor_1850_c;NA;NA;NA;NA;NA;13.93071938;17.20006752;14.84054756;11.27208328;7.348131657;NA;NA;2530.61164;9.69525492;254.145368
rutor_1850_f;NA;NA;NA;NA;NA;13.7082262;16.97381592;14.62891674;11.05184364;7.138389111;2.81466341;NA;2153.726724;1.935961813;88.32760405
rutor_1850_g;NA;NA;NA;NA;NA;13.57231998;16.72069359;14.3695631;10.81506729;6.950385571;2.741734505;NA;2159.184352;13.03415044;319.3083749
rutor_1864_a;NA;NA;NA;NA;NA;13.59079075;16.73415947;14.36355114;10.77114391;6.868990421;NA;NA;2532.185164;15.76922195;346.4553054
rutor_1864_b;NA;NA;NA;NA;NA;13.85718346;17.12716866;14.74340439;11.09385014;7.107888699;NA;NA;2538.290205;8.357716551;11.12500113
rutor_1864_c;NA;NA;NA;NA;NA;13.93191338;17.24007416;14.85888386;11.20821571;7.210474968;NA;NA;2530.852427;4.349269862;24.75896926
rutor_1864_d;NA;NA;NA;NA;NA;13.93438721;17.22947311;14.89694595;11.26947308;7.285109043;NA;NA;2561.423347;11.33937139;105.5799447
rutor_1864_e;NA;NA;NA;NA;NA;13.97087097;17.28378296;14.89452839;11.22383595;7.202420712;NA;NA;2569.997012;7.161459827;14.74295252
rutor_1864_f;NA;NA;NA;NA;NA;13.78386116;17.05123901;14.69826508;11.124897;7.208152771;NA;NA;2150.643431;4.289241034;257.4129044
rutor_1864_g;NA;NA;NA;NA;NA;13.68256283;16.86420441;14.49351978;10.93918133;7.061541557;NA;NA;2156.778927;12.77999413;305.4178356
rutor_1873_d;NA;NA;NA;NA;NA;14.23606586;17.61668396;15.23565674;11.58775806;7.54818058;NA;NA;2566.545517;5.346393816;229.8470734
rutor_1873_e;NA;NA;NA;NA;NA;14.19227219;17.55449295;15.22158337;11.60568237;7.596026421;NA;NA;2576.476968;11.19456637;168.4964442
rutor_1905_a;NA;NA;NA;NA;NA;13.82491207;17.01990891;14.64827156;11.08003998;7.161813736;NA;NA;2580.121428;18.60434486;298.135066
rutor_1905_b;NA;NA;NA;NA;NA;13.74387741;16.93078995;14.55051613;10.95519543;7.026940346;NA;NA;2582.625614;17.15017632;322.8216422
rutor_1905_c;NA;NA;NA;NA;NA;13.11510944;16.05383682;13.73797703;10.24744606;6.488116741;NA;NA;2567.53736;25.87982411;347.593307
rutor_1905_d;NA;NA;NA;NA;NA;13.79562569;16.96974564;14.60644531;11.0577631;7.159861565;NA;NA;2569.279779;19.2825155;295.0721965
rutor_1905_e;NA;NA;NA;NA;NA;13.88466072;17.11224556;14.73205948;11.145998;7.210878372;NA;NA;2550.700998;14.28919813;293.9273007
rutor_1933_a;NA;NA;NA;NA;NA;14.14880657;17.47325897;15.16870213;11.60070515;7.63838625;NA;NA;2679.384987;12.80278088;179.4310108
rutor_1933_b;NA;NA;NA;NA;NA;13.94853973;17.17278671;14.93241978;11.44436455;7.587364674;NA;NA;2672.932742;21.02265079;170.766954
rutor_1933_c;NA;NA;NA;NA;NA;13.94853973;17.17278671;14.93241978;11.44436455;7.587364674;NA;NA;2672.932742;21.02265079;170.766954
rutor_1933_d;NA;NA;NA;NA;NA;14.10216522;17.40177155;15.11578751;11.571311;7.634241104;NA;NA;2674.382423;16.71125632;175.0756776
rutor_1933_e;NA;NA;NA;NA;NA;14.17909527;17.51680183;15.20181179;11.62256241;7.646940231;NA;NA;2673.612377;13.12378407;188.9190916
rutor_1954_a;NA;NA;NA;NA;NA;13.77806282;17.01656532;14.69373322;11.18279839;7.321403503;NA;NA;2622.707379;9.03665635;207.1380633
rutor_1954_b;NA;NA;NA;NA;NA;13.30888271;16.36262894;14.16563606;10.78568268;7.085077763;NA;NA;2621.364078;16.20400124;148.8121855
rutor_1954_c;NA;NA;NA;NA;NA;13.30888271;16.36262894;14.16563606;10.78568268;7.085077763;NA;NA;2621.364078;16.20400124;148.8121855
rutor_1954_d;NA;NA;NA;NA;NA;NA;16.44402885;14.29568291;10.97615528;7.318130016;NA;NA;2606.002753;23.20820295;177.8959419
rutor_1954_e;NA;NA;NA;NA;NA;NA;15.811306;13.89018726;10.70236588;7.202749252;NA;NA;2603.038792;30.49902911;170.4555527
rutor_1988_a;NA;NA;NA;NA;NA;NA;17.26634789;14.94701862;11.39290428;7.472031593;NA;NA;2609.131808;10.48922846;193.1800673
rutor_1988_b;NA;NA;NA;NA;NA;NA;17.23822975;14.92297459;11.36311626;7.440718174;NA;NA;2616.785662;10.43518881;175.000758
rutor_1988_c;NA;NA;NA;NA;NA;13.82380199;17.0988903;14.7717495;11.20419788;7.292140007;NA;NA;2619.152781;6.931433431;154.4937592
rutor_1988_d;NA;NA;NA;NA;NA;NA;16.56957245;14.41111469;11.07327938;7.382827282;NA;NA;2585.96654;20.50349468;188.7554533
rutor_1988_e;NA;NA;NA;NA;NA;NA;16.46902657;14.29628181;10.94684887;7.264839172;NA;NA;2594.381707;19.1734611;173.5125096
rutor_2006_a;NA;NA;NA;NA;NA;NA;16.62446976;14.35184669;10.93614483;7.191678524;NA;NA;2557.51022;15.0045562;157.2240824
rutor_2006_b;NA;NA;NA;NA;NA;NA;16.95524216;14.66053581;11.12909508;7.271923065;NA;NA;2556.117009;10.32373168;153.2066944
rutor_2006_c;NA;NA;NA;NA;NA;NA;17.04125214;14.743577;11.20234489;7.328673363;NA;NA;2556.942333;10.4332311;161.969022
rutor_2006_d;NA;NA;NA;NA;NA;NA;17.04125214;14.743577;11.20234489;7.328673363;NA;NA;2556.942333;10.4332311;161.969022
rutor_2006_e;NA;NA;NA;NA;NA;NA;17.21609879;14.8724165;11.28978157;7.347468853;NA;NA;2557.002867;6.07571245;162.9048953
sanis_1850_a;13.13706875;13.65351868;13.994174;13.13658237;12.90372944;13.38735008;13.74321079;15.58826065;15.56738091;13.24052143;12.28704071;12.90543652;4341.125862;7.324697454;10.25784222
sanis_1850_b;13.27313232;13.74577236;14.06442642;13.1747694;12.91560936;13.35137749;13.68984985;15.51578522;15.57507706;13.2859745;12.3577919;13.02677155;4342.879464;5.123017063;46.6775469
sanis_1850_c;12.92307281;13.47698402;13.9246912;13.15048122;12.93537045;13.40578938;13.75408936;15.55618477;15.52420044;13.19020748;12.22747517;12.71570969;4344.571585;11.43264419;34.03987731
sanis_1850_d;12.92307281;13.47698402;13.9246912;13.15048122;12.93537045;13.40578938;13.75408936;15.55618477;15.52420044;13.19020748;12.22747517;12.71570969;4344.571585;11.43264419;34.03987731
sanis_1850_e;12.92307281;13.47698402;13.9246912;13.15048122;12.93537045;13.40578938;13.75408936;15.55618477;15.52420044;13.19020748;12.22747517;12.71570969;4344.571585;11.43264419;34.03987731
sanis_1959_a;13.45776176;14.02217674;14.40751934;13.58928871;13.36642838;13.85415649;14.20643806;16.03340912;16.00048065;13.6768322;12.68526554;13.24517059;4625.104324;11.02971963;354.3828732
sanis_1959_b;14.03510189;14.47662354;14.63625431;13.6268158;13.33521366;13.76598644;14.09702969;15.93424129;16.0424118;13.8489399;12.92650795;13.76691341;4622.149453;8.132567512;253.8148439
sanis_1959_c;13.7284317;14.23923588;14.54342842;13.64924526;13.39500904;13.8524065;14.19458389;16.03031731;16.06600189;13.78311253;12.82240677;13.49113941;4621.262198;6.236799572;336.9722909
sanis_1959_d;13.78500462;14.27343845;14.55267143;13.63456154;13.36851883;13.81093025;14.14822388;15.98426151;16.04855156;13.78085899;12.83561897;13.53858757;4624.815291;3.156963856;343.8878116
sanis_1959_e;13.97515202;14.43190002;14.62430382;13.63902569;13.35550308;13.79316521;14.12746811;15.96787643;16.05946541;13.84122086;12.90965271;13.71311951;4623.521782;9.643788536;275.6871776
sanis_1987_a;13.71031475;14.21200275;14.42464256;13.47428226;13.22142506;13.70825386;14.05850983;15.89753437;15.90407276;13.67268753;12.70946121;13.46708775;4625.611331;16.05277477;286.5567319
sanis_1987_b;13.94196224;14.39101696;14.56840134;13.57152176;13.28612518;13.72490692;14.05998802;15.90271854;15.99507236;13.78250408;12.85600376;13.67661476;4643.615971;10.4432478;263.1844357
sanis_1987_c;13.94196224;14.39101696;14.56840134;13.57152176;13.28612518;13.72490692;14.05998802;15.90271854;15.99507236;13.78250408;12.85600376;13.67661476;4643.615971;10.4432478;263.1844357
sanis_1987_d;13.89112282;14.34996891;14.53684044;13.54949951;13.27036285;13.71846771;14.05691433;15.90113449;15.97686863;13.75604725;12.82272243;13.62964344;4642.120267;10.40018791;274.9788262
