"glacier1","date1","plot1","date2","plot2","Plot1","Plot2","beta.bact","time_diff","beta.coll","beta.euka.uni","beta.euka.animals","beta.fung","beta.inse","beta.olig","beta.sper","beta.all.ani"
"adigi",1765,"c",1981,"g","adigi_1981_g","adigi_1765_c",0.906474820143885,216,0.75,0.8125,0.833333333333333,0.931034482758621,1,1,1,0.9
"adigi",1765,"c",1981,"h","adigi_1981_h","adigi_1765_c",0.936416184971098,216,1,0.8,0.857142857142857,0.952380952380952,1,1,1,0.961538461538462
"adigi",1765,"c",1981,"i","adigi_1981_i","adigi_1765_c",0.923076923076923,216,1,0.80952380952381,0.888888888888889,0.968253968253968,1,1,1,0.958333333333333
"adigi",1765,"c",1981,"j","adigi_1981_j","adigi_1765_c",0.896995708154506,216,1,0.933333333333333,1,0.942307692307692,1,1,1,1
"adigi",1765,"c",2010,"a","adigi_2010_a","adigi_1765_c",0.925170068027211,245,1,0.8,0.833333333333333,1,1,1,1,0.947368421052632
"adigi",1765,"c",2010,"b","adigi_2010_b","adigi_1765_c",0.938650306748466,245,1,0.789473684210526,1,0.979166666666667,1,1,1,1
"adigi",1765,"c",2010,"c","adigi_2010_c","adigi_1765_c",0.909638554216867,245,1,0.777777777777778,0.833333333333333,0.978723404255319,1,1,1,0.954545454545455
"adigi",1765,"c",2010,"d","adigi_2010_d","adigi_1765_c",0.95679012345679,245,1,0.684210526315789,1,1,0.888888888888889,1,1,0.95
"adigi",1765,"c",2010,"e","adigi_2010_e","adigi_1765_c",0.96319018404908,245,1,0.652173913043478,0.833333333333333,0.96551724137931,1,1,1,0.95
"adigi",1765,"d",1765,"e","adigi_1765_e","adigi_1765_d",0.59375,0,0.5,0.555555555555556,0.666666666666667,0.653846153846154,0.625,0,0.583333333333333,0.538461538461538
"adigi",1765,"d",1949,"a","adigi_1949_a","adigi_1765_d",0.829787234042553,184,1,0.555555555555556,0.888888888888889,0.881188118811881,0.952380952380952,1,1,0.948717948717949
"adigi",1765,"d",1949,"b","adigi_1949_b","adigi_1765_d",0.87037037037037,184,1,0.625,0.777777777777778,0.851485148514851,0.933333333333333,1,1,0.918918918918919
"adigi",1765,"d",1949,"c","adigi_1949_c","adigi_1765_d",0.813953488372093,184,1,0.5,0.818181818181818,0.895238095238095,1,1,1,0.944444444444444
"adigi",1765,"d",1949,"d","adigi_1949_d","adigi_1765_d",0.918918918918919,184,0.857142857142857,0.428571428571429,0.888888888888889,0.901785714285714,1,1,1,0.947368421052632
"adigi",1765,"d",1949,"e","adigi_1949_e","adigi_1765_d",0.872340425531915,184,0.9,0.444444444444444,0.777777777777778,0.893617021276596,1,1,1,0.918918918918919
"adigi",1765,"d",1963,"a","adigi_1963_a","adigi_1765_d",0.915094339622642,198,1,0.75,0.875,0.985294117647059,1,1,1,0.964285714285714
"adigi",1765,"d",1963,"b","adigi_1963_b","adigi_1765_d",0.914634146341463,198,1,0.692307692307692,1,0.959459459459459,1,1,1,1
"adigi",1765,"d",1963,"c","adigi_1963_c","adigi_1765_d",0.904109589041096,198,1,0.7,1,1,1,1,1,1
"adigi",1765,"d",1963,"d","adigi_1963_d","adigi_1765_d",0.917808219178082,198,1,0.5,0.888888888888889,0.957746478873239,1,1,1,0.967741935483871
"adigi",1765,"d",1963,"e","adigi_1963_e","adigi_1765_d",0.89873417721519,198,1,0.5,1,1,1,1,1,1
"adigi",1765,"d",1981,"a","adigi_1981_a","adigi_1765_d",0.847826086956522,216,1,0.714285714285714,1,0.934210526315789,1,1,1,1
"adigi",1765,"d",1981,"b","adigi_1981_b","adigi_1765_d",0.8625,216,1,0.5,0.875,0.943820224719101,1,1,1,0.96551724137931
"adigi",1765,"d",1981,"c","adigi_1981_c","adigi_1765_d",0.893939393939394,216,1,0.857142857142857,1,0.959459459459459,1,1,1,1
"adigi",1765,"d",1981,"d","adigi_1981_d","adigi_1765_d",0.855263157894737,216,1,0.875,1,0.917808219178082,1,1,1,1
"adigi",1765,"d",1981,"e","adigi_1981_e","adigi_1765_d",0.804878048780488,216,1,0.625,1,0.929411764705882,1,1,1,1
"adigi",1765,"d",1981,"f","adigi_1981_f","adigi_1765_d",0.905405405405405,216,1,0.818181818181818,1,0.96,1,1,1,1
"adigi",1765,"d",1981,"g","adigi_1981_g","adigi_1765_d",0.825,216,1,0.777777777777778,0.857142857142857,0.944444444444444,1,1,1,0.96
"adigi",1765,"d",1981,"h","adigi_1981_h","adigi_1765_d",0.932432432432432,216,1,0.666666666666667,0.875,0.961038961038961,1,1,1,0.966666666666667
"adigi",1765,"d",1981,"i","adigi_1981_i","adigi_1765_d",0.894736842105263,216,1,0.785714285714286,0.9,0.946666666666667,1,1,1,0.964285714285714
"adigi",1765,"d",1981,"j","adigi_1981_j","adigi_1765_d",0.906474820143885,216,1,0.857142857142857,1,0.954545454545455,1,1,1,1
"adigi",1765,"d",2010,"a","adigi_2010_a","adigi_1765_d",0.847826086956522,245,1,0.769230769230769,0.857142857142857,1,1,1,1,0.956521739130435
"adigi",1765,"d",2010,"b","adigi_2010_b","adigi_1765_d",0.903225806451613,245,1,0.636363636363636,1,1,1,1,1,1
"adigi",1765,"d",2010,"c","adigi_2010_c","adigi_1765_d",0.865671641791045,245,1,0.727272727272727,0.857142857142857,0.983606557377049,1,1,1,0.961538461538462
"adigi",1765,"d",2010,"d","adigi_2010_d","adigi_1765_d",0.915254237288136,245,1,0.692307692307692,1,0.984848484848485,1,1,1,1
"adigi",1765,"d",2010,"e","adigi_2010_e","adigi_1765_d",0.933333333333333,245,1,0.722222222222222,1,0.957746478873239,1,1,1,1
"adigi",1765,"e",1949,"a","adigi_1949_a","adigi_1765_e",0.83695652173913,184,1,0.666666666666667,1,0.855932203389831,0.944444444444444,1,1,0.972222222222222
"adigi",1765,"e",1949,"b","adigi_1949_b","adigi_1765_e",0.884615384615385,184,1,0.75,0.9,0.840336134453782,1,1,1,0.971428571428571
"adigi",1765,"e",1949,"c","adigi_1949_c","adigi_1765_e",0.857142857142857,184,1,0.777777777777778,0.916666666666667,0.830508474576271,1,1,1,0.96969696969697
"adigi",1765,"e",1949,"d","adigi_1949_d","adigi_1765_e",0.878787878787879,184,0.833333333333333,0.571428571428571,1,0.84,1,1,1,0.971428571428571
"adigi",1765,"e",1949,"e","adigi_1949_e","adigi_1765_e",0.888888888888889,184,0.888888888888889,0.7,0.9,0.864864864864865,1,1,1,0.941176470588235
"adigi",1765,"e",1963,"a","adigi_1963_a","adigi_1765_e",0.912621359223301,198,1,0.833333333333333,1,0.988888888888889,1,1,1,1
"adigi",1765,"e",1963,"b","adigi_1963_b","adigi_1765_e",0.925,198,1,0.769230769230769,1,0.946808510638298,1,1,1,1
"adigi",1765,"e",1963,"c","adigi_1963_c","adigi_1765_e",0.930555555555556,198,1,0.8,1,1,1,1,1,1
"adigi",1765,"e",1963,"d","adigi_1963_d","adigi_1765_e",0.929577464788732,198,1,0.625,1,0.956521739130435,1,1,1,1
"adigi",1765,"e",1963,"e","adigi_1963_e","adigi_1765_e",0.923076923076923,198,1,0.625,1,1,1,1,1,1
"adigi",1765,"e",1981,"a","adigi_1981_a","adigi_1765_e",0.888888888888889,216,1,0.785714285714286,1,0.91578947368421,1,1,1,1
"adigi",1765,"e",1981,"b","adigi_1981_b","adigi_1765_e",0.9,216,1,0.727272727272727,1,0.905660377358491,1,1,1,1
"adigi",1765,"e",1981,"c","adigi_1981_c","adigi_1765_e",0.939393939393939,216,1,0.833333333333333,1,0.935483870967742,1,1,1,1
"adigi",1765,"e",1981,"d","adigi_1981_d","adigi_1765_e",0.88,216,1,0.857142857142857,1,0.913978494623656,1,1,1,1
"adigi",1765,"e",1981,"e","adigi_1981_e","adigi_1765_e",0.878048780487805,216,1,0.571428571428571,1,0.881188118811881,1,1,1,1
"adigi",1765,"e",1981,"f","adigi_1981_f","adigi_1765_e",0.945945945945946,216,1,0.8,1,0.969072164948454,1,1,1,1
"adigi",1765,"e",1981,"g","adigi_1981_g","adigi_1765_e",0.810810810810811,216,1,0.75,1,0.923076923076923,1,1,1,1
"adigi",1765,"e",1981,"h","adigi_1981_h","adigi_1765_e",0.944444444444444,216,1,0.636363636363636,1,0.926315789473684,1,1,1,1
"adigi",1765,"e",1981,"i","adigi_1981_i","adigi_1765_e",0.909090909090909,216,1,0.769230769230769,1,0.936842105263158,1,1,1,1
"adigi",1765,"e",1981,"j","adigi_1981_j","adigi_1765_e",0.920289855072464,216,1,0.833333333333333,1,0.965909090909091,1,1,1,1
"adigi",1765,"e",2010,"a","adigi_2010_a","adigi_1765_e",0.888888888888889,245,1,0.75,1,1,1,1,1,1
"adigi",1765,"e",2010,"b","adigi_2010_b","adigi_1765_e",0.934426229508197,245,1,0.727272727272727,1,0.988095238095238,1,1,1,1
"adigi",1765,"e",2010,"c","adigi_2010_c","adigi_1765_e",0.91044776119403,245,1,0.7,1,0.987951807228916,1,1,1,1
"adigi",1765,"e",2010,"d","adigi_2010_d","adigi_1765_e",0.929824561403509,245,1,0.769230769230769,1,0.977011494252874,1,1,1,1
"adigi",1765,"e",2010,"e","adigi_2010_e","adigi_1765_e",0.948275862068966,245,1,0.777777777777778,1,0.956521739130435,1,1,1,1
"adigi",1949,"a",1949,"b","adigi_1949_b","adigi_1949_a",0.67741935483871,0,1,0.571428571428571,0.714285714285714,0.694117647058824,0.588235294117647,NA,0.6,0.7
